School,Overall Seed,Bid,Year
Purdue,7,At-large,2018
Texas Tech,12,At-large,2018
Wichita State,14,At-large,2018
West Virginia,18,At-large,2018
Florida,21,At-large,2018
Arkansas,26,At-large,2018
Virginia Tech,31,At-large,2018
Alabama,36,At-large,2018
Butler,33,At-large,2018
St. Bonaventure,42,At-large,2018
Pac-12,41,At-large,2018
Murray State,50,Auto,2018
Marshall,54,Auto,2018
Stephen F. Austin,58,Auto,2018
Cal State Fullerton,61,Auto,2018
LIU Brooklyn,66,Auto,2018
Big South,65,Auto,2018
Kansas,3,Auto,2018
Duke,6,At-large,2018
Michigan State,9,At-large,2018
Auburn,13,At-large,2018
Clemson,19,At-large,2018
TCU,24,At-large,2018
Rhode Island,28,At-large,2018
Seton Hall,29,At-large,2018
NC State,37,At-large,2018
Oklahoma,40,At-large,2018
Arizona State,43,At-large,2018
ACC,44,At-large,2018
New Mexico State,47,Auto,2018
College of Charleston,53,Auto,2018
Bucknell,55,Auto,2018
Iona,62,Auto,2018
Penn,64,Auto,2018
Villanova,1,Auto,2017
Duke,7,Auto,2017
Baylor,12,At-Large,2017
Florida,14,At-Large,2017
Virginia,17,At-Large,2017
SMU,21,Auto,2017
South Carolina,26,At-Large,2017
Wisconsin,29,At-Large,2017
Virginia Tech,36,At-Large,2017
Marquette,39,At-Large,2017
Providence,42,At-Large,2017
Pac-12,45,At-Large,2017
UNC Wilmington,49,Auto,2017
East Tennessee State,52,Auto,2017
New Mexico State,55,Auto,2017
Troy,60,Auto,2017
Mount St. Mary's,68,Auto,2017
Southland,67,Auto,2017
Gonzaga,4,Auto,2017
Arizona,6,Auto,2017
Florida State,10,At-Large,2017
West Virginia,15,At-Large,2017
Notre Dame,19,At-Large,2017
Maryland,23,At-Large,2017
Saint Mary's,25,At-Large,2017
Northwestern,32,At-Large,2017
Vanderbilt,33,At-Large,2017
VCU,40,At-Large,2017
Xavier,41,At-Large,2017
Princeton,50,Auto,2017
Bucknell,51,Auto,2017
Florida Gulf Coast,56,Auto,2017
North Dakota,62,Auto,2017
South Dakota State,64,Auto,2017
Kansas,2,At-Large,2017
Louisville,8,At-Large,2017
Oregon,9,At-Large,2017
Purdue,16,At-Large,2017
Iowa State,20,Auto,2017
Creighton,24,At-Large,2017
Michigan,27,Auto,2017
Miami (FL),30,At-Large,2017
Michigan State,35,At-Large,2017
Oklahoma State,37,At-Large,2017
Rhode Island,44,Auto,2017
Nevada,47,Auto,2017
Vermont,53,Auto,2017
Iona,58,Auto,2017
Jacksonville State,61,Auto,2017
North Carolina Central,66,Auto,2017
Big West,65,Auto,2017
North Carolina,3,At-Large,2017
Kentucky,5,Auto,2017
UCLA,11,At-Large,2017
Butler,13,At-Large,2017
Minnesota,18,At-Large,2017
Cincinnati,22,At-Large,2017
Dayton,28,At-Large,2017
Arkansas,31,At-Large,2017
Seton Hall,34,At-Large,2017
Wichita State,38,Auto,2017
Kansas State,46,At-Large,2017
ACC,43,At-Large,2017
Middle Tennessee,48,Auto,2017
Winthrop,54,Auto,2017
Kent State,57,Auto,2017
Northern Kentucky,59,Auto,2017
Texas Southern,63,Auto,2017
